"filename", "language", "Markdown", "XML", "Python", "HTML", "C", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/archieve/this-is-marketing/content.md", "Markdown", 275, 0, 0, 0, 0, 0, 0, 0, 190, 465
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/archieve/who-baemin-ceo-wants/content.md", "Markdown", 22, 0, 0, 0, 0, 0, 0, 3, 12, 37
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/archieve/why-zero-start/content.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 9, 21
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/dict/algorithm/binary_search/index.md", "Markdown", 31, 0, 0, 0, 0, 0, 0, 0, 1, 32
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/dict/algorithm/hanoi_tower/index.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/dict/algorithm/index.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 0, 6, 15
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/dict/computer-architecture/index.md", "Markdown", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/dict/data-structure/adt/index.md", "Markdown", 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/dict/data-structure/index.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 0, 6, 15
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/dict/data-structure/list/array-based/index.md", "Markdown", 105, 0, 0, 0, 0, 0, 0, 0, 23, 128
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/dict/data-structure/list/index.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 9, 21
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/dict/database/index.md", "Markdown", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/dict/network/index.md", "Markdown", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/dict/os/index.md", "Markdown", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/dict/roadmap/index.md", "Markdown", 20, 0, 0, 0, 0, 0, 0, 0, 7, 27
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/dict/test.c", "C", 0, 0, 0, 0, 61, 0, 0, 0, 11, 72
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/til/2021-11-22/content.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/til/2021-11-23/content.md", "Markdown", 8, 0, 0, 0, 0, 0, 0, 0, 5, 13
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/writing/baekjoon-short-circuit-valuation/content.md", "Markdown", 30, 0, 0, 0, 0, 0, 0, 0, 18, 48
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/writing/snuyum-review/content.md", "Markdown", 22, 0, 0, 0, 0, 0, 0, 0, 33, 55
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/writing/swift-for-for-each/content.md", "Markdown", 15, 0, 0, 0, 0, 0, 0, 0, 9, 24
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/writing/swift-good-to-know/content.md", "Markdown", 58, 0, 0, 0, 0, 0, 0, 0, 14, 72
"/Users/seongyeolyi/Desktop/yeolyi.github.io/src/writing/why-i-write/content.md", "Markdown", 17, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/Users/seongyeolyi/Desktop/yeolyi.github.io/stories/archieve/good-design-10/index.html", "HTML", 0, 0, 0, 56, 0, 0, 0, 0, 3, 59
"/Users/seongyeolyi/Desktop/yeolyi.github.io/stories/archieve/how-baemin-work/index.html", "HTML", 0, 0, 0, 104, 0, 0, 0, 0, 3, 107
"/Users/seongyeolyi/Desktop/yeolyi.github.io/stories/archieve/index.html", "HTML", 0, 0, 0, 78, 0, 0, 0, 0, 3, 81
"/Users/seongyeolyi/Desktop/yeolyi.github.io/stories/archieve/this-is-marketing/index.html", "HTML", 0, 0, 0, 371, 0, 0, 0, 0, 3, 374
"/Users/seongyeolyi/Desktop/yeolyi.github.io/stories/archieve/who-baemin-ceo-wants/index.html", "HTML", 0, 0, 0, 62, 0, 0, 0, 3, 3, 68
"/Users/seongyeolyi/Desktop/yeolyi.github.io/stories/archieve/why-zero-start/index.html", "HTML", 0, 0, 0, 44, 0, 0, 0, 0, 3, 47
"/Users/seongyeolyi/Desktop/yeolyi.github.io/stories/index.html", "HTML", 0, 0, 0, 62, 0, 0, 0, 6, 3, 71
"/Users/seongyeolyi/Desktop/yeolyi.github.io/stories/til/2021-11-22/index.html", "HTML", 0, 0, 0, 54, 0, 0, 0, 0, 3, 57
"/Users/seongyeolyi/Desktop/yeolyi.github.io/stories/til/2021-11-23/index.html", "HTML", 0, 0, 0, 48, 0, 0, 0, 0, 3, 51
"/Users/seongyeolyi/Desktop/yeolyi.github.io/stories/til/index.html", "HTML", 0, 0, 0, 46, 0, 0, 0, 0, 2, 48
"/Users/seongyeolyi/Desktop/yeolyi.github.io/stories/writing/baekjoon-short-circuit-valuation/index.html", "HTML", 0, 0, 0, 62, 0, 0, 0, 0, 3, 65
"/Users/seongyeolyi/Desktop/yeolyi.github.io/stories/writing/snuyum-review/index.html", "HTML", 0, 0, 0, 55, 0, 0, 0, 0, 3, 58
"/Users/seongyeolyi/Desktop/yeolyi.github.io/stories/writing/swift-for-for-each/index.html", "HTML", 0, 0, 0, 53, 0, 0, 0, 0, 3, 56
"/Users/seongyeolyi/Desktop/yeolyi.github.io/stories/writing/swift-good-to-know/index.html", "HTML", 0, 0, 0, 83, 0, 0, 0, 0, 3, 86
"/Users/seongyeolyi/Desktop/yeolyi.github.io/stories/writing/why-i-write/index.html", "HTML", 0, 0, 0, 54, 0, 0, 0, 0, 3, 57
"Total", "-", 798, 152, 172, 2614, 61, 1018, 482, 63, 785, 6145
